1,2,SOL,SOMBRA,50,100,150,CCN51,EET8,ICS1,ICS95,SCC19,SCC52,SCC61,SCC64,SCC83,TSH565,Transpiración,Uso eficiente del agua,No TOTAL RAMAS,Producción
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,4933333333333336","1,206556084767666","2,5","1090,278"
0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1,5233333333333332","1,8460295401153208","2,8333333333333335","259,3"
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"2,57","1,2451361867704283","2,6666666666666665","2222,41"
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"2,393333333333333","1,2176237352243173","2,5","454,5"
0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"2,276666666666667","1,6248605167727062","2,6666666666666665","684,105"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2,246","1,7989161472933404","2,8333333333333335","2864,453846153846"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"3,043333333333333","1,4555577593439128","2,3333333333333335","2067,424"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,4133333333333333","2,396228736657541","2,6666666666666665","3482,520769230769"
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,13","2,0927028620866217","2,375","1882,9249999999997"
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"1,9533333333333331","1,8800144997136659","2,1666666666666665","981,8479999999998"
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1,6466666666666665","2,461591807909605","2,4","239,10666666666668"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,9060000000000001","0,940470253383064","2,3333333333333335","3412,0350000000003"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"2,01","1,65019369112726","2,1666666666666665","531,4"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,9566666666666663","1,3174310844219368","2,5","4580,5199999999995"
0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"2,13","2,0927028620866217","2,1666666666666665","13459,673076923074"
0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"1,9533333333333331","1,8800144997136659","2,1666666666666665","6104,61"
0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"1,9433333333333334","2,060258145363408","2,1666666666666665","5568,12"
0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"1,6466666666666665","2,461591807909605","2,1666666666666665","3585,3168000000005"
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1,55","2,0516129032258066","2,1666666666666665","13806,2475"
0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"1,3033333333333335","1,232969836150848","2,1666666666666665","3855,5"
0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"2,15","1,5122287195062063","2,1666666666666665","8945,407272727272"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"1,9060000000000001","0,940470253383064","2,0","6161,555555555555"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"2,01","1,65019369112726","2,0","2456,3685714285716"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"1,9566666666666663","1,3174310844219368","1,8333333333333333","6713,27111111111"
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"3,08936288108715","3,200230438850497","2,0","3518,664"
1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"2,944201550469161","3,388159986079476","2,3333333333333335","705,72"
1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"3,2871139734608668","2,8845650506628466","2,3333333333333335","753,77"
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"3,1612035353707064","3,479333386334717","2,0","2811,3062500000005"
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1,9997595838217286","3,5300496997717037","2,0","3479,008695652174"
1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"2,7645790204326475","3,0377729383297716","2,0","515,655"
1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,"3,795155317999073","3,082546179972176","2,1666666666666665","10050,446153846155"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2,579455043940167","3,4929117378537913","2,0","1181,02"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"3,987624788277692","3,124605243041542","2,0","460,625"
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"3,179602911802165","3,220326838379082","2,0","4721,227368421053"
0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,"1,9997595838217286","3,5300496997717037","2,1666666666666665","762,3000000000001"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"2,579455043940167","3,4929117378537913","1,8333333333333333","3305,475"
0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,"3,987624788277692","3,124605243041542","2,0","1195,18"
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"1,1333333333333335","2,9374106992052513","2,5","3591,3555555555554"
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,"1,843333333333333","2,04537071305206","2,6666666666666665","62,54"
0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,"1,57","2,5418557327317006","2,5","702,9399999999999"
0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"2,1","1,7093705453731216","2,8333333333333335","94,358"
0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"1,45","1,5039772727272727","2,1666666666666665","980,84"
0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"2,0900000000000003","1,703227952440776","2,5","590,8428571428572"
